"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.126" "0.8" "0.01" "2.64509774918692" "2.22861650743057" "0.112538308081035"
"0.126" "0.9" "0.01" "2.755838954253" "1.99609248667667" "-0.484162572151028"
"0.126" "0.9" "0.01" "2.75583895425301" "1.99609248667667" "-0.484162572151041"
"0.127" "0.8" "0.0075" "3.00187152478975" "2.22784562906489" "-0.173651590766907"
"0.127" "0.8" "0.01" "2.65366110445567" "2.22792415776318" "0.104995274198646"
"0.128" "0.8" "0.0075" "3.01318479156345" "2.22715497744239" "-0.183392855808365"
"0.128" "0.8" "0.01" "2.66222466082894" "2.22723238902963" "0.0974526603664816"
"0.128" "0.9" "0.01" "2.7730982713674" "1.99459004548743" "-0.501198398743222"
"0.128" "0.9" "0.01" "2.77309827136739" "1.99459004548744" "-0.501198398743212"
"0.129" "0.8" "0.0075" "3.02449828629071" "2.22646490536798" "-0.193133723664586"
"0.129" "0.8" "0.01" "2.6707884224581" "2.22654119542845" "0.0899104574619742"
"0.13" "0.8" "0.0075" "3.03581201191033" "2.22577540700247" "-0.202874202525797"
"0.13" "0.8" "0.01" "2.67935239343283" "2.22585057124662" "0.0823686565003592"
"0.13" "0.9" "0.01" "2.7903595701399" "1.99308994449257" "-0.518233668633333"
"0.13" "0.9" "0.01" "2.79035957013991" "1.99308994449258" "-0.518233668633347"
"0.131" "0.8" "0.0075" "3.04712597132272" "2.22508647659478" "-0.212614300463402"
"0.131" "0.8" "0.01" "2.68791657778484" "2.22516051085675" "0.0748272486288788"
"0.132" "0.8" "0.0075" "3.05844016739214" "2.22439810848215" "-0.222354025431565"
"0.132" "0.8" "0.01" "2.69648097948976" "2.22447100871727" "0.0672862251254602"
"0.132" "0.9" "0.01" "2.80762303229037" "1.99159213546283" "-0.535268593598502"
"0.132" "0.9" "0.01" "2.80762303229038" "1.99159213546284" "-0.535268593598509"
"0.133" "0.8" "0.0075" "3.06975460294985" "2.22371029708647" "-0.232093385273404"
"0.133" "0.8" "0.01" "2.70504560247101" "2.22378205936946" "0.059745577392655"
"0.134" "0.8" "0.0075" "3.08106928079703" "2.2230230369124" "-0.241832387725229"
"0.134" "0.8" "0.01" "2.71361045060186" "2.22309365743339" "0.0522052969519033"
"0.134" "0.9" "0.01" "2.82488885264365" "1.99009657169668" "-0.552303395682612"
"0.134" "0.9" "0.01" "2.82488885264366" "1.99009657169668" "-0.552303395682616"
"0.135" "0.8" "0.0075" "3.09238420370714" "2.22233632254476" "-0.25157104042096"
"0.135" "0.8" "0.01" "2.72217552770857" "2.22240579760966" "0.044665375442805"
"0.136" "0.8" "0.0075" "3.10369937442897" "2.22165014864976" "-0.261309350893417"
"0.136" "0.8" "0.01" "2.73074083757305" "2.22171847467682" "0.0371258046183804"
"0.136" "0.9" "0.01" "2.84215724112974" "1.9886032079481" "-0.569338309068666"
"0.136" "0.9" "0.01" "2.84215724112975" "1.98860320794811" "-0.569338309068663"
"0.137" "0.8" "0.0075" "3.11501479568956" "2.22096450996879" "-0.27104732658286"
